"province or territory","shootings","shootings","shootings","shootings","shootings","shootings","shootings","shootings","shootings"
"province or territory","2016","2016","2016","2015r","2015r","2015r","average 2006 to 2015","average 2006 to 2015","average 2006 to 2015"
"province or territory","number of victims","rate","percent of total homicides","number of victims","rate","percent of total homicides","average number","rate","percent of total homicides"
"newfoundland and labrador","0","0.00","0.0","1","0.19","33.3","2","0.33","45.9"
"prince edward island","0","0.00","0.0","0","0.00","0.0","0","0.14","22.2"
"nova scotia","9","0.95","75.0","3","0.32","25.0","5","0.50","32.0"
"new brunswick","3","0.40","30.0","3","0.40","27.3","2","0.29","27.2"
"quebec","27","0.32","40.9","28","0.34","36.4","29","0.36","33.2"
"ontario","82","0.59","41.2","49","0.36","28.2","56","0.42","32.2"
"manitoba","5","0.38","12.2","7","0.54","15.6","9","0.72","17.9"
"saskatchewan","17","1.48","33.3","11","0.97","25.0","6","0.57","18.3"
"alberta","44","1.03","37.9","49","1.17","38.9","31","0.81","32.2"
"british columbia","35","0.74","43.8","26","0.55","29.5","32","0.72","36.2"
"yukon","1","2.67","25.0","1","2.67","100.0","0","0.57","18.2"
"northwest territories","0","0.00","0.0","1","2.26","20.0","0","0.92","16.0"
"nunavut","0","0.00","0.0","0","0.00","0.0","2","4.75","34.0"
"canada","223","0.61","37.80","179","0.50","30.4","174","0.51","30.8"
