"club","season","league","league","league","state league","state league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"atletico goianiense","2012","serie a","5","1","-","-","1","0","-","-","6","1","none","none"
"atletico goianiense","2013","serie b","0","0","1","0","0","0","-","-","1","0","none","none"
"atletico goianiense","subtotal","subtotal","5","1","1","0","1","0","0","0","0","0","7","1"
"avai","2013","serie b","23","5","-","-","0","0","-","-","23","5","none","none"
"avai","2014","serie b","0","0","5","2","0","0","-","-","5","2","none","none"
"avai","subtotal","subtotal","23","5","5","2","0","0","0","0","0","0","28","7"
"corinthians","2014","serie a","33","6","6","4","8","3","-","-","47","13","none","none"
"corinthians","2015","serie a","6","5","9","1","1","0","2","0","-","-","18","6"
"corinthians","2016","serie a","15","1","7","0","-","-","2","0","-","-","24","1"
"corinthians","subtotal","subtotal","54","12","22","5","9","3","4","0","0","0","89","20"
"leganes","2016-17","la liga","25","4","-","-","2","0","-","-","27","4","none","none"
"panathinaikos","2017-18","super league","9","2","-","-","1","0","4","0","-","-","14","2"
"career total","career total","career total","116","24","28","7","13","3","8","0","0","0","165","34"
