"club","season","league","league","league","cup","cup","league cup","league cup","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"new york red bulls","2007","major league soccer","28","2","-","-","3","0","31","2"
"new york red bulls","2008","major league soccer","23","3","-","-","4","1","27","4"
"new york red bulls","2009","major league soccer","27","3","-","-","3","1","30","4"
"new york red bulls","2010","major league soccer","25","5","-","-","3","0","28","5"
"new york red bulls","2011","major league soccer","27","7","-","-","3","0","30","7"
"new york red bulls","2012","major league soccer","17","1","-","-","0","0","17","1"
"new york red bulls","total","total","147","21","-","-","16","2","163","23"
"vancouver whitecaps","2012","major league soccer","12","3","-","-","1","0","13","3"
"burnley","2012-13","championship","1","0","1","0","0","0","-","-"
"bodø/glimt","2013","adeccoligaen","14","2","4","1","-","-","18","3"
"bodø/glimt","2013","adeccoligaen","14","4","0","0","-","-","14","4"
"bodø/glimt","2014","tippeligaen","22","3","1","0","-","-","23","3"
"new york red bulls","2015","major league soccer","12","0","-","-","1","0","13","0"
"indy eleven","2015","north american soccer league","15","3","-","-","0","0","15","3"
"career totals","career totals","career totals","237","36","6","1","0","0","18","2"
