"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"elbasani","2006-07","albanian superliga","4","1","0","0","-","-","4","1"
"elbasani","2007-08","albanian superliga","8","0","0","0","-","-","8","0"
"elbasani","2008-09","albanian superliga","28","3","4","0","-","-","32","3"
"elbasani","2009-10","albanian first division","13","3","0","0","-","-","13","3"
"elbasani","2010-11","albanian superliga","28","0","0","0","-","-","28","0"
"elbasani","total","total","81","7","4","0","-","-","81","7"
"teuta durres","2011-12","albanian superliga","23","3","4","0","-","-","27","3"
"teuta durres","2012-13","albanian superliga","21","1","4","0","-","-","25","1"
"teuta durres","2013-14","albanian superliga","-","-","2","0","2","0","none","none"
"teuta durres","total","total","44","4","8","0","2","0","54","4"
"partizani tirana","2013-14","albanian superliga","26","4","4","0","-","-","30","4"
"tirana","2014-15","albanian superliga","22","2","6","0","-","-","28","2"
"bylis ballsh","2015-16","albanian superliga","28","1","4","0","-","-","32","1"
"bylis ballsh","2016-17","albanian first division","23","5","2","0","-","-","25","5"
"bylis ballsh","total","total","51","6","6","0","-","-","57","6"
"elbasani","2017-18","albanian second division","19","0","0","0","-","-","19","0"
"trepca'89","2018-19","football superleague of kosovo","19","0","0","0","-","-","19","0"
"career total","career total","career total","243","23","28","0","2","0","273","23"
