"industry and company size","naics code","r&d performance","r&d performance","r&d performance"
"industry and company size","naics code","worldwide","domestic","foreign"
"all industries","21-23, 31-33, 42-81","395628","322528","73100"
"manufacturing industries","31-33","272580","221476","51104"
"beverage and tobacco products","312","1358","827","531"
"pharmaceuticals and medicines","3254","62477","52426","10051"
"chemicals except pharmaceuticals","325 less 3254","11920","9238","2682"
"machinery","333","15502","12650","2852"
"computer and electronic products","334","85480","67205","18275"
"communications equipment","3342","20353","15658","4696"
"semiconductor and other electronic components","3344","40609","30800","9809"
"navigational, measuring, electromedical, and control instruments","3345","16769","14478","2291"
"other computer and electronic products","other 334","7748","6269","1480"
"electrical equipment, appliances, and components","335","5741","4136","1605"
"automobiles, bodies, trailers, and parts","3361-63","23605","16729","6877"
"aerospace products and parts","3364","29331","27114","2218"
"other transportation equipment","other 336","2255","2129","124"
"manufacturing nec","other 31-33","34911","29022","5889"
"nonmanufacturing industries","21-23, 42-81","123048","101052","21996"
"mining, extraction, and support activities","21","4449","3997","452"
"information","51","70857","57207","13650"
"software publishers","5112","46664","35333","11331"
"other information","other 51","24193","21874","2319"
"finance and insurance","52","5011","4308","703"
"computer systems design and related services","5415","10563","9268","1294"
"scientific research and development services","5417","18464","14201","4263"
"nonmanufacturing nec","other 21-23, 42-81","13704","12071","1634"
"size of company","","","",""
"5-24","-","11034","10297","737"
"25-49","-","8381","7941","440"
"50-99","-","9254","8910","344"
"100-249","-","14941","13666","1275"
"250-499","-","13562","12189","1373"
"500-999","-","13658","12002","1656"
"1,000-4,999","-","69097","55517","13580"
"5,000-9,999","-","42350","31514","10836"
"10,000-24,999","-","60999","51218","9782"
"25,000 or more","-","152351","119275","33076"
