"club","season","league","league","league","continental","continental","national","national","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"gazi universitesispor","2006-2009","first league","14","2","-","-","26","1","40","3"
"gazi universitesispor","2009-10","first league","17","0","-","-","15","0","32","0"
"gazi universitesispor","2010-11","first league","20","2","3","0","2","0","25","2"
"gazi universitesispor","2011-12","first league","8","0","-","-","4","0","12","0"
"gazi universitesispor","total","total","59","4","3","0","47","1","109","5"
"kdz. ereglispor","2012-13","first league","18","1","-","-","0","0","18","1"
"kdz. ereglispor","2013-14","first league","15","0","-","-","1","0","16","0"
"kdz. ereglispor","total","total","33","1","-","-","1","0","34","1"
"career total","career total","career total","92","5","3","0","48","1","143","6"
