"characteristic","control model","control model"
"characteristic","beta","p-value"
"r2","0.422","0.422"
"sex","",""
"men","-0.142","0.119"
"women","..",".."
"age group","",""
"20 to 39","-0.608","0.001"
"40 to 59","-0.497","0.011"
"60 to 79","..",".."
"race","",""
"white","..",".."
"asian","1.576","0.001"
"other","0.760","0.007"
"supplement use","",""
"no","..",".."
"yes","1.719","0.000"
"fish consumption","",""
"less than twice a week","..",".."
"at least twice a week","0.690","0.001"
"smoking status","",""
"daily or occasional","-0.564","0.000"
"non-smoker","..",".."
"obesity","",""
"no","..",".."
"yes","-0.269","0.027"
