"no","pos","name","league","league","fa cup","fa cup","league cup","league cup","asia","asia","total","total","total","discipline","discipline"
"no","pos","name","apps","goals","apps","goals","apps","goals","apps","goals","apps","total","goals","-","-"
"1","gk","south korea shin hwa-yong","8","0","1","0","0","0","6","0","15","16","0","0","0"
"2","mf","south korea choi hyo-jin","25","2","4","0","1","0","4","1","34","34","3","5","0"
"3","df","south korea kim gwang-seok","18","1","1","0","0","0","5","0","24","27","1","6","0"
"4","df","south korea lee chang-won","5","0","0","0","0","0","4","0","9","9","0","2","0"
"6","mf","south korea kim gi-dong","17","3","2","0","0","0","3","0","22","25","3","2","1"
"7","mf","south korea kim jae-sung","13","2","2","1","2","0","3","1","20","33","4","9","0"
"8","mf","south korea hwang jin-sung","16","2","2","1","1","0","2","1","21","30","4","4","0"
"9","mf","south korea hwang ji-soo","23","0","3","0","2","0","4","0","32","32","0","4","0"
"10","fw","brazil denilson","19","6","2","0","0","0","4","2","25","25","8","6","0"
"11","mf","south korea choi jong-bum","0","0","0","0","0","0","2","0","2","2","0","0","0"
"12","mf","south korea park yoon-hwa","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","mf","south korea park hee-chul","3","0","0","0","1","0","0","0","4","7","0","1","0"
"13","mf","south korea shin kwang-hoon","0","0","0","0","0","0","2","0","2","6","0","1","0"
"14","fw","south korea kwon jip","0","0","0","0","0","0","2","0","2","2","0","0","0"
"14","df","south korea kim hyung-il","3","0","1","0","0","0","0","0","4","4","0","2","0"
"15","fw","brazil clodoaldo","2","0","0","0","0","0","1","0","3","4","0","1","0"
"16","mf","south korea park won-jae","23","4","3","0","1","0","3","0","30","33","4","6","2"
"16","mf","south korea kim jung-kyum","2","0","1","0","0","0","0","0","3","4","0","0","0"
"17","fw","south korea lee gwang-jae","2","0","0","1","0","0","2","0","4","15","1","2","0"
"18","fw","south korea namgung do","11","6","1","1","0","0","3","0","15","31","7","4","0"
"19","fw","south korea lee sung-jae","0","0","0","0","0","0","0","0","0","3","0","1","0"
"20","mf","brazil fabiano gadelha","0","0","0","0","0","0","1","0","1","6","0","0","0"
"21","gk","south korea song dong-jin","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","df","south korea jang hyun-kyu","19","1","4","0","2","0","2","0","27","28","1","3","0"
"23","fw","south korea yoo chang-hyun","0","0","0","0","0","0","1","0","1","2","0","0","0"
"24","df","south korea hwang jae-won","17","1","2","1","2","0","2","1","23","23","3","4","1"
"25","mf","south korea shin hyung-min","15","3","2","0","2","0","2","0","21","26","3","5","0"
"26","df","south korea kim soo-yeon","2","0","0","0","0","0","1","0","3","3","0","1","0"
"27","mf","south korea cho han-bum","0","0","0","0","1","0","1","0","2","4","0","1","0"
"28","mf","south korea song chang-ho","0","0","0","0","0","0","2","0","2","2","0","0","0"
"29","df","south korea lee tae-young","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","gk","south korea kim jee-hyuk","19","0","3","0","2","0","0","0","24","24","0","1","0"
"32","df","south korea lee seung-yeul","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","df","south korea noh byung-joon","7","4","1","1","1","1","0","0","9","25","6","1","0"
"35","mf","south korea kim yoon-sik","0","0","1","0","0","0","0","0","1","3","0","0","0"
"36","mf","south korea kim ji-min","0","0","0","0","0","0","0","0","0","1","0","0","0"
"37","df","south korea cho sung-hwan","16","1","4","0","2","0","4","0","26","26","1","9","1"
"99","fw","republic of macedonia stevica ristic","9","6","3","0","2","0","0","0","14","17","6","1","0"
