"canada, provinces and territories","population","persons with disabilities","persons without disabilities","prevalence of disability"
"canada, provinces and territories","number","number","number","percent"
"canada","27,516,200","3,775,910","23,740,290","13.7"
"newfoundland and labrador","420,970","59,300","361,670","14.1"
"prince edward island","117,440","18,840","98,600","16.0"
"nova scotia","765,100","143,760","621,340","18.8"
"new brunswick","606,820","99,450","507,380","16.4"
"quebec","6,436,930","616,740","5,820,190","9.6"
"ontario","10,727,900","1,651,620","9,076,280","15.4"
"manitoba","929,650","145,270","784,380","15.6"
"saskatchewan","779,150","116,640","662,520","15.0"
"alberta","2,945,140","369,190","2,575,950","12.5"
"british columbia","3,703,010","546,760","3,156,250","14.8"
"yukon","28,360","4,070","24,290","14.4"
"northwest territories","33,370","2,740","30,630","8.2"
"nunavut","22,350","1,540","20,810","6.9"
