"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","2007-08","league one","6","0","0","0","0","0","0","0","6","0"
"port vale","2008-09","league two","37","5","2","0","1","0","1","0","41","5"
"port vale","2009-10","league two","5","0","0","0","1","0","0","0","6","0"
"port vale","total","total","48","5","2","0","2","0","1","0","53","5"
"worcester city","2010-11","conference north","37","4","0","0","0","0","3","1","40","5"
"altrincham","2011-12","conference north","30","2","0","0","0","0","2","0","32","2"
"altrincham","2012-13","conference north","35","8","3","0","0","0","4","1","42","9"
"altrincham","2013-14","conference north","36","3","0","0","0","0","4","0","40","3"
"altrincham","2014-15","conference premier","38","1","2","0","0","0","3","0","43","1"
"altrincham","2015-16","national league","36","0","3","0","0","0","2","0","41","0"
"altrincham","2016-17","national league north","33","2","2","0","0","0","5","1","40","3"
"altrincham","2017-18","northern premier league premier division","37","3","0","0","0","0","5","1","42","4"
"altrincham","2018-19","national league north","15","1","0","0","0","0","4","0","19","1"
"altrincham","total","total","260","20","10","0","0","0","29","3","299","23"
"career total","career total","career total","345","29","12","0","2","0","33","4","392","33"
