"team","season","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"team","season","g","s","att","yds","avg","lng","td","rec","yds","avg","lng","td","fum","lost"
"seattle seahawks","2000","16","1","64","313","4.9","50","2","5","41","8.2","18","0","2","2"
"seattle seahawks","2001","16","12","309","1,318","4.3","88","14","44","343","7.8","28","2","4","4"
"seattle seahawks","2002","16","16","295","1,175","4.0","58","16","59","460","7.8","80","2","3","1"
"seattle seahawks","2003","16","15","326","1,435","4.4","55","14","42","295","7.0","22","2","4","3"
"seattle seahawks","2004","16","16","353","1,696","4.8","44","16","23","170","7.4","24","4","5","3"
"seattle seahawks","2005","16","16","370","1,880","5.1","88","27","15","78","5.2","9","1","5","1"
"seattle seahawks","2006","10","10","252","896","3.6","33","7","12","48","4.0","14","0","6","3"
"seattle seahawks","2007","13","10","207","716","3.5","25","4","14","76","5.4","18","1","2","0"
"washington redskins","2008","4","0","11","24","2.2","8","0","1","9","9.0","9","0","0","0"
"career totals","career totals","career totals","career totals","2,187","9,453","4.3","88","100","215","1,520","7.1","80","12","31","17"
