"product type used or exposed to","total","total","total","males","males","males","females","females","females"
"product type used or exposed to","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"product type used or exposed to","%","from","to","%","from","to","%","from","to"
"laser pointer for presentations","11.1","10.3","11.8","58.5","55.1","61.8","41.5","38.2","44.9"
"laser survey tool for levelling or distance measurement, or range finders","7.3","6.7","7.8","81.0","77.7","84.4","19.0","15.6","22.3"
"laser for cosmetic treatments for hair or tattoo removal, excluding medical devices","2.8","2.5","3.2","19.1","11.8","26.4","80.9","73.6","88.2"
"laser for entertainment such as a toy, game or light show display","9.7","9.0","10.4","55.0","51.8","58.1","45.0","41.9","48.2"
"laser for materials processing such as cutting or marking","2.6","2.3","3.0","86.6","82.5","90.8","13.4","9.2","17.5"
"laser scanner such as a barcode reader","38.7","37.5","39.9","48.3","46.9","49.6","51.7","50.4","53.1"
"any other product, excluding medical devices","2.5","2.2","2.9","64.4","58.5","70.4","35.6","29.6","41.5"
"at least one of the above","48.1","46.9","49.3","50.6","49.5","51.8","49.4","48.2","50.5"
