"club","season","league","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"tottenham hotspur","1992-93","premier league","18","3","1","0","2","1","21","4"
"tottenham hotspur","1993-94","premier league","1","0","0","0","0","0","1","0"
"tottenham hotspur","1994-95","premier league","1","0","0","0","0","0","1","0"
"tottenham hotspur","1995-96","premier league","0","0","0","0","1","0","1","0"
"tottenham hotspur","total","total","20","3","1","0","3","1","24","4"
"wycombe wanderers","1994-95","second division","4","0","0","0","0","0","4","0"
"doncaster rovers","1994-95","third division","4","1","0","0","1","1","5","2"
"huddersfield town","1995-96","first division","5","1","0","0","0","0","5","1"
"southend united","1995-96","first division","6","0","0","0","0","0","6","0"
"portsmouth","1996-97","first division","24","2","0","0","3","0","27","2"
"portsmouth","1997-98","first division","16","1","1","0","1","0","18","1"
"portsmouth","total","total","40","3","1","0","4","0","45","3"
"crystal palace","1998-99","first division","2","0","0","0","0","0","2","0"
"wolverhampton wanderers","1998-99","first division","0","0","0","0","0","0","0","0"
"rotherham united","1999-2000","third division","32","1","0","0","3","0","35","1"
"rotherham united","2000-01","second division","4","0","0","0","0","0","4","0"
"rotherham united","total","total","36","1","0","0","3","0","39","0"
"boston united","2000-01","conference","4","0","0","0","0","0","4","0"
"rochdale","2000-01","third division","4","0","0","0","0","0","4","0"
"yeovil town","2001-02","conference","21","1","0","0","1","0","22","1"
"nuneaton borough","2001-02","conference","12","1","0","0","0","0","12","1"
"northampton town","2002-03","second division","3","0","0","0","0","0","3","0"
"northwich victoria","2002-03","conference","2","1","0","0","0","0","2","1"
"chasetown","2005-06","midland alliance","17","3","5","0","1","0","23","3"
"chasetown","2006-07","southern league division one midlands","9","0","1","0","3","0","13","0"
"chasetown","total","total","26","3","6","0","4","0","36","3"
"career total","career total","career total","189","15","8","0","16","2","213","17"
