"","reasons for not having hunted, fished or trapped","reasons for not having hunted, fished or trapped","reasons for not having hunted, fished or trapped","reasons for not having hunted, fished or trapped","reasons for not having hunted, fished or trapped","reasons for not having hunted, fished or trapped","reasons for not having hunted, fished or trapped","reasons for not having hunted, fished or trapped","reasons for not having gathered wild plants or berries","reasons for not having gathered wild plants or berries","reasons for not having gathered wild plants or berries","reasons for not having gathered wild plants or berries","reasons for not having gathered wild plants or berries","reasons for not having gathered wild plants or berries","reasons for not having gathered wild plants or berries"
"","not enough time","not enough money for supplies or equipment","no one to do it with","physical disability","location","fewer animals","quota restrictions","other","not enough time","location","fewer plants/berries to harvest","physical disability, health or medical reasons","not enough money for supplies or equipment","no one to teach needed skills","other"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"sex","","","","","","","","","","","","","","",""
"males","34","31","13","14","13","f","f","14","45","12","11","f","11","f","18"
"females","33","28","8","6","22","f","f","16","40","29","12","10","10","9","9"
"age group","","","","","","","","","","","","","","",""
"15 to 24 years","32","24","15","f","f","f","f","f","36","34","12","f","f","f","f"
"25 to 54 years","36","32","6","f","18","f","f","15","50","21","11","f","13","8","7"
"55 years or older","25","30","f","29","f","f","f","f","f","f","f","41","f","f","f"
"labour force status","","","","","","","","","","","","","","",""
"employed","47","21","11","f","20","f","f","16","56","30","12","f","f","6","f"
"unemployed","21","58","f","f","20","f","f","f","28","28","23","f","f","f","f"
"out of the labour force","20","31","9","17","17","f","f","f","31","17","7","22","13","f","17"
"place of residence","","","","","","","","","","","","","","",""
"urban","25","15","f","f","31","f","f","f","34","44","f","f","f","f","f"
"rural","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"inuit nunangat","38","41","11","8","12","1","f","10","46","15","14","8","12","7","13"
