"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"shrewsbury town","2000-01","third division","30","4","0","0","2","0","1","0","33","4"
"shrewsbury town","2001-02","third division","38","7","0","0","0","0","1","0","39","7"
"shrewsbury town","2002-03","third division","41","11","4","0","1","0","3","2","49","13"
"shrewsbury town","2003-04","football conference","36","9","1","0","0","0","3","1","39","10"
"shrewsbury town","2004-05","league two","38","9","1","0","1","0","2","0","42","7"
"shrewsbury town","shrewsbury town totals","shrewsbury town totals","173","32","6","0","4","0","11","5","194","37"
"chester city","2004-05","league two","8","4","0","0","0","0","0","0","8","4"
"chester city","2005-06","league two","32","10","2","3","0","0","0","0","34","13"
"chester city","chester city totals","chester city totals","40","14","2","3","0","0","0","0","42","17"
"crewe alexandra","2006-07","league one","37","8","0","0","2","1","5","3","44","12"
"crewe alexandra","2007-08","league one","27","4","2","0","0","0","1","1","30","5"
"crewe alexandra","crewe alexandra totals","crewe alexandra totals","64","12","2","0","2","1","6","4","74","17"
"stockport county","2007-08","league two","4","0","0","0","0","0","0","0","4","0"
"stockport county","stockport county totals","stockport county totals","4","0","0","0","0","0","0","0","4","0"
"chester city","2008-09","league two","45","16","1","0","1","2","1","0","48","18"
"chester city","chester city totals","chester city totals","45","16","1","0","1","2","1","0","48","18"
"bury","2009-10","league two","39","18","1","0","1","0","2","0","43","18"
"bury","2010-11","league two","46","27","2","1","1","0","1","0","50","28"
"bury","2011-12","league one","5","4","0","0","2","3","0","0","7","7"
"bury","bury totals","bury totals","90","49","3","1","4","3","3","0","100","53"
"sheffield wednesday","2011-12","league one","26","8","4","1","0","0","0","0","30","9"
"sheffield wednesday","sheffield wednesday totals","sheffield wednesday totals","26","8","4","1","0","0","0","0","30","9"
"milton keynes dons","2012-13","league one","42","11","6","1","3","0","0","0","51","12"
"milton keynes dons","mk dons totals","mk dons totals","42","11","6","1","3","0","0","0","51","12"
"tranmere rovers","2013-14","league one","45","19","2","1","2","0","1","0","50","20"
"tranmere rovers","tranmere rovers totals","tranmere rovers totals","45","19","2","1","2","0","1","0","50","20"
"bury","2014-15","league two","34","9","2","0","1","1","1","1","38","11"
"bury","2015-16","league one","19","6","3","0","0","0","0","0","22","6"
"bury","bury totals","bury totals","53","15","5","0","1","1","1","1","60","17"
"crewe alexandra","2015-16","league one","6","2","0","0","0","0","0","0","6","2"
"crewe alexandra","2016-17","league two","22","5","2","0","2","2","2","1","28","8"
"crewe alexandra","crewe alexandra totals","crewe alexandra totals","28","7","2","0","2","2","2","1","34","10"
"bury","2016-17","league one","12","2","0","0","0","0","0","0","12","2"
"bury","2017-18","league one","5","0","0","0","2","0","0","0","7","0"
"bury","bury totals","bury totals","17","2","0","0","2","0","0","0","19","2"
"career totals","career totals","career totals","626","185","33","7","19","9","25","11","703","214"
