"election","candidate","first round","first round","first round","second round","second round","second round"
"election","candidate","votes","percentage","position","votes","percentage","position"
"1990","radu campeanu","1,529,188","10.6%","2nd","none","none","none"
"1992","emil constantinescu1","3,717,006","31.1%","2nd","4,641,207","38.6%","2nd"
"1996","emil constantinescu1","3,569,941","28.2%","2nd","7,057,906","54.4%","1st"
"2000","theodor stolojan","1,321,420","11.8%","3rd","none","none","none"
"2004","traian basescu2","3,545,236","33.9%","2nd","5,126,794","51.2%","1st"
"2009","crin antonescu","1,945,831","20.0%","3rd","none","none","none"
"2014","klaus johannis3","2,881,406","30.3%","2nd","6,288,769","54.4%","1st"
"2019","klaus johannis4","tbd","tbd","tbd","tbd","tbd","tbd"
