"occupational group","women","women","men","men"
"occupational group","visible minority","not a visible minority","visible minority","not a visible minority"
"occupational group","percentage","percentage","percentage","percentage"
"all occupations","100.0","100.0","100.0","100.0"
"sales and service","26.1","21.1","20.3","13.5"
"trades, transport and equipment operation and related occupations","1.5","2.0","19.1","28.6"
"natural and applied sciences and related occupations","5.3","3.6","16.5","11.4"
"management","7.8","10.3","11.7","15.0"
"business, finance and administration","22.9","26.1","11.6","8.9"
"manufacturing and utilities","6.0","2.3","7.8","6.2"
"education, law and social, community and government services","15.8","19.0","6.4","8.3"
"health","11.9","11.6","3.6","2.3"
"art, culture, recreation and sport","2.1","3.1","2.0","2.5"
"natural resources, agriculture and related production occupations","0.6","0.8","1.1","3.4"
