"aboriginal identity","females","females","males","males","females as % of the aboriginal group"
"aboriginal identity","number","percent","number","percent","females as % of the aboriginal group"
"total aboriginal identity population","718,500","100.0","682,190","100.0","51.3"
"first nations single identity","439,775","61.2","411,785","60.4","51.6"
"registered or treaty indian","329,205","45.8","308,450","45.2","51.6"
"not registered or treaty indian","110,570","15.4","103,330","15.1","51.7"
"metis single identity","228,465","31.8","223,335","32.7","50.6"
"inuit single identity","29,950","4.2","29,495","4.3","50.4"
"multiple aboriginal identities","5,890","0.8","5,525","0.8","51.6"
"aboriginal identities not included elsewhere","14,420","2.0","12,055","1.8","54.5"
