"year","team","gp","gs","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing"
"year","team","gp","gs","cmp","att","pct","yds","y/a","td","int","rtg","att","yds","avg","td"
"2013","tb","13","13","247","416","59.4","2,608","6.3","19","9","83.9","27","37","1.4","0"
"2014","tb","6","5","117","203","57.6","1,417","7.0","10","6","83.3","10","49","4.9","0"
"2015","tb","0","0","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp"
"2016","tb","2","0","10","11","90.9","75","6.8","1","0","125.4","0","0","0.0","0"
"2017","chi","4","4","93","140","66.4","833","6.0","4","5","76.9","4","4","1.0","0"
"2018","ari","2","0","15","21","71.4","174","8.3","1","0","112.0","0","0","0.0","0"
"career","career","27","22","482","791","60.9","5,107","6.5","35","20","84.0","41","90","2.2","0"
"source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:"
