"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"cai","2011-12","torneo argentino a","13","0","0","0","-","-","0","0","13","0"
"cai","2012-13","torneo argentino b","25","1","1","0","-","-","0","0","26","1"
"cai","2013-14","torneo argentino a","28","1","0","0","-","-","4","0","32","1"
"cai","total","total","66","2","1","0","-","-","4","0","71","2"
"tiro federal","2014","torneo federal a","12","1","0","0","-","-","2","0","14","1"
"independiente","2015","torneo federal a","26","0","0","0","-","-","0","0","26","0"
"independiente","2016","torneo federal b","12","0","0","0","-","-","0","0","12","0"
"independiente","total","total","38","0","0","0","-","-","0","0","38","0"
"san jorge","2016-17","torneo federal a","16","0","0","0","-","-","0","0","16","0"
"san jorge","2017-18","torneo federal a","22","1","4","0","-","-","2","0","28","1"
"san jorge","total","total","38","1","4","0","-","-","2","0","44","1"
"arsenal de sarandi","2018-19","primera b nacional","10","0","0","0","-","-","0","0","10","0"
"career total","career total","career total","164","4","5","0","-","-","8","0","177","4"
