"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"burnley","1919-20","first division","3","0","0","0","3","0"
"burnley","total","total","3","0","0","0","3","0"
"stoke city","1920-21","second division","2","0","0","0","2","0"
"stoke city","1921-22","second division","41","0","5","0","46","0"
"stoke city","1922-23","first division","32","0","2","0","34","0"
"stoke city","1923-24","second division","29","0","1","0","30","0"
"stoke city","1924-25","second division","40","0","1","0","41","0"
"stoke city","1925-26","second division","36","0","2","0","38","0"
"stoke city","1926-27","third division north","42","0","3","0","45","0"
"stoke city","1927-28","second division","42","0","4","0","46","0"
"stoke city","1928-29","second division","38","0","1","0","39","0"
"stoke city","1929-30","second division","21","0","0","0","21","0"
"stoke city","1930-31","second division","39","0","3","0","42","0"
"stoke city","1931-32","second division","41","0","5","0","46","0"
"stoke city","1932-33","second division","8","0","0","0","8","0"
"stoke city","1933-34","first division","26","0","4","0","30","0"
"stoke city","1934-35","first division","42","0","1","0","43","0"
"stoke city","total","total","479","0","32","0","511","0"
"career total","career total","career total","482","0","32","0","514","0"
