"province and territory","homicide","homicide","homicide","attempted murder","attempted murder","attempted murder","major assault","major assault","major assault","robbery","robbery","robbery"
"province and territory","number","rate","percent change in rate 2016 to 2017","number","rate","percent change in rate 2016 to 2017","number","rate","percent change in rate 2016 to 2017","number","rate","percent change in rate 2016 to 2017"
"newfoundland and labrador","4","0.76","..","5","0.95","-37","645","122","6","185","35","-17"
"prince edward island","0","0.00","..","2","1.32","..","126","83","20","17","11","-7"
"nova scotia","21","2.20","61","27","2.83","-4","1,154","121","1","311","33","14"
"new brunswick","10","1.32","-9","7","0.92","0","949","125","-3","212","28","-8"
"quebec","93","1.11","38","238","2.84","25","10,476","125","0","3,642","43","-3"
"ontario","196","1.38","-6","286","2.02","8","15,243","107","4","9,238","65","10"
"manitoba","47","3.51","10","42","3.14","-4","5,281","395","4","2,350","176","12"
"saskatchewan","37","3.18","-32","41","3.52","-38","4,373","376","1","1,014","87","-1"
"alberta","118","2.75","1","59","1.38","6","8,997","210","7","3,238","76","3"
"british columbia","118","2.45","32","115","2.39","-5","7,156","149","-1","2,476","51","-18"
"yukon","8","20.80","..","2","5.20","..","150","390","-22","12","31","-50"
"northwest territories","2","4.49","..","1","2.25","..","449","1,009","7","29","65","-6"
"nunavut","6","15.79","..","2","5.26","..","395","1,040","-8","15","39","47"
"canada","660","1.80","7","827","2.25","4","55,394","151","2","22,739","62","2"
