"","level of education","level of education","level of education","level of education"
"","less than a high school diploma","high school diploma/some postsecondary","trade certificate or college diploma","university degree"
"men","2014 dollars","2014 dollars","2014 dollars","2014 dollars"
"median employment income","","","",""
"employed some time in reference year","30,400","34,500","43,700","47,100"
"employed all year","36,200","41,200","49,800","56,200"
"employed full year, full time in reference year","36,300","43,200","51,200","58,400"
"median individual income","","","",""
"total individual income before taxes","26,600","34,400","44,700","46,300"
"total individual income after taxes","24,700","30,400","38,500","40,500"
"median family income","","","",""
"total economic family income before taxes","35,200","45,200","52,200","54,000"
"total economic family income after taxes","31,700","39,500","44,900","47,200"
"women","","","",""
"employment income","","","",""
"employed some time in reference year","13,000","20,600","28,900","37,800"
"employed all year","18,400","26,400","33,700","46,300"
"employed full year, full time in reference year","21,100","30,200","36,000","50,000"
"median individual income","","","",""
"total individual income before taxes","19,100","21,700","31,400","37,600"
"total individual income after taxes","18,800","20,800","28,900","34,200"
"median family income","","","",""
"total economic family income before taxes","25,400","36,600","46,300","56,100"
"total economic family income after taxes","24,400","32,800","40,300","48,400"
