"club","season","league","league","league","continental","continental","national","national","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"gazi universitesispor","2003-2008","first league","1","0","-","-","16","7","17","7"
"gazi universitesispor","2008-09","first league","17","16","-","-","3","0","20","16"
"gazi universitesispor","2009-10","first league","18","25","-","-","6","4","24","29"
"gazi universitesispor","total","total","36","41","-","-","25","11","61","52"
"atasehir belediyesi","2010-11","first league","22","20","-","-","0","0","22","20"
"atasehir belediyesi","2011-12","first league","16","15","3","0","6","1","25","16"
"atasehir belediyesi","2012-13","first league","18","15","3","1","0","0","21","16"
"atasehir belediyesi","2013-14","first league","6","5","-","-","3","1","9","6"
"atasehir belediyesi","total","total","62","55","6","1","9","2","77","58"
"konak belediyespor","2013-14","first league","10","6","-","-","8","3","18","9"
"konak belediyespor","2014-15","first league","11","7","2","3","4","6","17","16"
"konak belediyespor","total","total","21","13","2","3","12","9","35","25"
"kirecburnu spor","2015-16","first league","17","12","-","-","7","1","24","13"
"kirecburnu spor","total","total","17","12","-","-","7","1","24","13"
"atasehir belediyesi","2016-17","first league","24","14","-","-","0","0","24","14"
"atasehir belediyesi","2017-18","first league","18","17","-","-","0","0","18","17"
"atasehir belediyesi","2018-19","first league","0","0","3","3","0","0","3","3"
"atasehir belediyesi","total","total","42","31","3","3","0","0","45","34"
"alg spor","2018-9","first league","2","0","-","-","0","0","2","0"
"alg spor","total","total","2","0","-","-","0","0","2","0"
"career total","career total","career total","180","152","12","7","53","23","244","182"
