"source of interprovincial employment income","province or territory of residence","province or territory of residence","province or territory of residence","province or territory of residence","province or territory of residence","province or territory of residence","province or territory of residence","province or territory of residence","province or territory of residence","province or territory of residence","province or territory of residence","province or territory of residence","province or territory of residence"
"source of interprovincial employment income","newfoundland and labrador","prince edward island","nova scotia","new brunswick","quebec","ontario","manitoba","saskatchewan","alberta","british columbia","northwest territories","yukon","nunavut"
"source of interprovincial employment income","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"newfoundland and labrador","..","2.5","7.0","3.0","0.6","1.2","0.4","0.2","1.3","0.4","1.7","0.1","4.1"
"prince edward island","2.2","..","2.7","1.5","0.1","0.4","0.0","0.1","0.4","0.2","0.7","0.1","1.2"
"nova scotia","7.4","13.8","..","17.6","0.6","2.6","0.6","0.2","1.1","0.8","3.6","0.3","4.5"
"new brunswick","3.1","11.3","10.8","..","1.2","1.7","0.6","0.2","0.8","0.3","1.0","0.3","2.6"
"quebec","2.4","2.2","3.5","9.7","..","57.8","2.3","0.8","3.3","3.3","1.9","2.1","13.6"
"ontario","14.2","12.7","22.3","16.9","91.7","..","23.7","6.6","23.6","20.7","13.7","6.7","19.4"
"manitoba","1.7","1.8","1.0","1.9","0.4","3.7","..","8.0","3.4","2.1","2.8","1.2","8.8"
"saskatchewan","1.6","5.1","5.0","6.1","0.6","4.3","31.3","..","27.4","4.4","4.5","3.0","3.3"
"alberta","56.6","45.3","39.0","36.9","2.3","17.0","30.6","77.0","..","60.4","39.1","20.8","8.3"
"british columbia","2.6","2.8","4.4","2.9","1.1","8.4","6.6","4.5","32.5","..","9.0","47.5","2.4"
"northwest territories","3.7","0.9","2.3","1.4","0.1","1.2","1.6","2.0","4.8","4.0","..","15.8","31.8"
"yukon","0.7","0.2","0.3","0.6","0.0","0.3","0.4","0.2","0.6","2.5","5.1","..","0.0"
"nunavut","3.7","1.3","1.6","1.5","1.3","1.2","1.9","0.4","0.9","0.8","16.9","1.8",".."
"total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
