"characteristic","threshold gad","threshold gad","threshold gad","threshold gad","subthreshold gad","subthreshold gad","subthreshold gad","subthreshold gad"
"characteristic","number '000","%","95% confidence interval","95% confidence interval","number '000","%","95% confidence interval","95% confidence interval"
"characteristic","number '000","%","from","to","number '000","%","from","to"
"total","721.7","2.6","2.3","2.9","654.7","2.3","2.0","2.7"
"sex","","","","","","","",""
"men","270.5","2.0","1.6","2.4","177.2","1.3","1.0","1.6"
"women","451.2","3.2","2.8","3.7","477.6","3.4","2.8","4.0"
"age group","","","","","","","",""
"15 to 24","107.7","2.4","1.8","3.2","82.3","1.9","1.3","2.7"
"25 to 44","268.2","2.9","2.4","3.5","229.1","2.5","2.0","3.2"
"45 to 64","288.4","3.0","2.5","3.6","286.6","3.0","2.4","3.7"
"65 or older","57.4","1.2","0.9","1.7","56.7","1.2","0.9","1.6"
"highest level of household education","","","","","","","",""
"postsecondary completion","498.5","2.5","2.2","2.8","443.3","2.2","1.9","2.5"
"less than postsecondary completion","169.5","3.0","2.4","3.7","137.8","2.4","1.7","3.4"
"marital status","","","","","","","",""
"partner","345.8","2.1","1.7","2.5","391.5","2.3","1.9","10.2"
"widowed/separated/divorced","137.0","3.8","3.0","4.8","80.3","2.2","1.8","11.2"
"never married","235.2","3.1","2.6","3.7","182.2","2.4","1.9","11.2"
"place of residence","","","","","","","",""
"rural","122.0","2.5","1.9","3.2","131.1","2.7","2.0","3.6"
"population centre","599.7","2.6","2.3","2.9","523.6","2.3","1.9","2.6"
"mood disorder","","","","","","","",""
"past 12 months","404.5","27.2","23.6","31.2","152.7","10.3","8.0","13.1"
"lifetime, not past 12 months","65.2","3.3","2.3","4.7","134.5","6.8","5.4","8.5"
"none","246.7","1.0","0.9","1.2","361.3","1.5","1.2","1.8"
"substance use disorder","","","","","","","",""
"past 12 months","95.8","8.0","6.1","10.4","51.1","4.3","2.6","6.8"
"lifetime, not past 12 months","197.8","4.3","3.5","5.2","159.6","3.4","2.7","4.4"
"none","406.0","1.9","1.6","2.2","437.7","2.0","1.7","2.4"
"schizophrenia","","","","","","","",""
"yes","21.7","f","f","f","11.0","10.8","5.6","19.9"
"no","700.0","2.5","2.2","2.8","638.5","2.3","2.0","2.6"
"psychosis","","","","","","","",""
"yes","36.7","13.6","9.2","19.5","59.2","21.9","14.4","31.8"
"no","680.7","2.5","2.2","2.8","595.0","2.1","1.9","2.5"
"ptsd","","","","","","","",""
"yes","113.0","24.3","18.4","31.4","69.2","14.9","9.8","21.9"
"no","605.2","2.2","2.0","2.5","585.0","2.1","1.8","2.5"
