"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","league","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"leeds united","1984-85","second division","0","0","0","0","0","0","0","0","0","0"
"leeds united","1985-86","second division","16","3","1","0","0","0","2","0","19","3"
"leeds united","1986-87","second division","7","0","1","0","1","0","0","0","9","0"
"leeds united","1987-88","second division","25","8","0","0","2","2","1","0","28","10"
"leeds united","1988-89","second division","1","0","1","0","0","0","0","0","2","0"
"hull city","1988-89","second division","11","1","0","0","0","0","0","0","11","1"
"hull city","1989-90","second division","31","11","1","0","2","0","1","0","35","11"
"hull city","1990-91","second division","38","12","1","0","3","1","0","0","42","13"
"port vale","1991-92","second division","33","3","0","0","4","0","2","0","39","3"
"port vale","1992-93","second division","38","3","4","1","1","0","8","1","51","5"
"port vale","1993-94","second division","40","0","5","0","1","0","2","0","48","0"
"plymouth argyle","1994-95","second division","27","2","2","0","2","1","0","0","31","3"
"burnley","1995-96","second division","32","5","1","0","2","0","4","0","39","5"
"burnley","1996-97","second division","17","2","2","0","0","0","2","0","21","2"
"bury","1997-98","first division","37","6","1","0","2","0","0","0","40","6"
"burnley","1998-99","second division","17","0","0","0","0","0","0","0","17","0"
"burnley","1999-2000","second division","2","0","0","0","0","0","0","0","2","0"
"york city","1999-2000","third division","9","0","0","0","0","0","0","0","9","0"
"york city","2000-01","third division","2","0","0","0","0","0","0","0","2","0"
"total","none","none","383","56","20","1","20","4","22","1","445","62"
