"season","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"season","team","gp","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td","fum","lost"
"2011","ne","16","2","87","441","5.1","33t","1","3","13","4.3","8","0","1","0"
"2012","ne","16","12","290","1,263","4.4","41","12","6","51","8.5","20","0","4","2"
"2013","ne","14","6","178","773","4.3","29","7","10","62","6.2","24","0","4","4"
"2014","ne","6","5","94","340","3.6","43","2","4","20","5.0","7","0","0","0"
"2015","nyj","8","1","36","90","2.5","13","0","4","2","0.5","3","0","0","0"
"2016","atl","1","0","3","7","2.3","7","0","0","0","0","0","0","0","0"
"2017","pit","2","1","26","108","4.2","21","1","0","0","0","0","0","0","0"
"2018","pit","10","0","29","80","2.8","12","1","3","18","6.0","10","0","2","2"
"none","total","73","27","743","3,102","4.2","43","24","30","162","5.4","24","0","11","8"
