"","average difference between the non-mortgage debt of families with positive expectations and that of other families","average difference between the non-mortgage debt of families with positive expectations and that of other families","average non-mortgage debt","average non-mortgage debt"
"","homeowners","renters","homeowners","renters"
"","2016 dollars","2016 dollars","2016 dollars","2016 dollars"
"all family units","6,836","2,020","22,338","9,135"
"age of major income earner","","","",""
"25 to 34","9,319","1,951","23,481","13,431"
"35 to 54","5,533","1,322","27,162","9,992"
"55 or older","8,707","2,598","16,521","4,464"
"education level of major income earner","","","",""
"high school or less","3,956","2,239","18,746","6,381"
"postsecondary education","5,781","1,221","23,129","10,674"
"university degree","9,748","1,798","26,522","13,888"
"immigration status of major income earner","","","",""
"landed immigrant","6,771","792","22,912","8,900"
"canadian-born","6,610","2,219","22,174","9,197"
"1999","5,505","2,389","13,896","7,836"
"2005","3,379","1,966","22,041","8,554"
"2016","10,376","1,859","29,088","10,728"
