"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"burslem port vale","1882-83","-","0","0","0","0","2","1","2","1"
"burslem port vale","1883-84","-","0","0","0","0","15","12","15","12"
"burslem port vale","1884-85","-","0","0","0","0","35","21","35","21"
"burslem port vale","1885-86","-","0","0","6","4","32","18","38","22"
"burslem port vale","1886-87","-","0","0","4","3","35","20","39","23"
"burslem port vale","1887-88","-","0","0","1","0","33","11","34","11"
"burslem port vale","1888-89","combination","14","4","0","0","14","3","28","7"
"burslem port vale","1889-90","-","0","0","0","0","28","7","28","7"
"burslem port vale","1890-91","midland league","2","0","0","0","0","0","2","0"
"burslem port vale","1891-92","midland league","0","0","0","0","1","0","1","0"
"burslem port vale","total","total","16","4","11","7","195","93","222","104"
