"census metropolitan area","2015 population count","2015","2015","2014r","2014r","difference from 2014","difference from 2014","average 2005 to 2014","average 2005 to 2014"
"census metropolitan area","number","number of victims","rate","number of victims","rate","number of victims","percent change in rate","number of victims","rate"
"regina","242,714","8","3.30","5","2.09","3","57.4","7","3.37"
"saskatoon","310,892","10","3.22","8","2.62","2","22.7","7","2.66"
"edmonton","1,360,356","39","2.87","40","3.00","-1","-4.6","37","3.15"
"winnipeg","808,028","22","2.72","27","3.42","-5","-20.3","29","3.80"
"calgary","1,445,521","39","2.70","32","2.26","7","19.2","25","2.03"
"thunder bay","121,117","3","2.48","11","9.05","-8","-72.6","4","3.52"
"saint john","127,249","3","2.36","3","2.35","0","0.5","2","1.32"
"victoria","365,226","8","2.19","4","1.11","4","98.0","4","1.06"
"halifax","417,868","8","1.91","5","1.21","3","58.4","10","2.42"
"vancouver","2,505,033","47","1.88","46","1.86","1","1.0","49","2.11"
"windsor","331,318","6","1.81","3","0.91","3","99.6","4","1.06"
"kingston","166,348","3","1.80","0","0.00","3","..","2","1.06"
"abbotsford-mission","184,352","3","1.63","4","2.22","-1","-26.6","4","2.39"
"london","508,639","8","1.57","4","0.79","4","98.5","7","1.43"
"st. catharines-niagara","449,098","7","1.56","4","0.89","3","74.3","5","1.17"
"guelph","130,440","2","1.53","3","2.32","-1","-33.9","1","0.80"
"kelowna","196,026","3","1.53","3","1.58","0","-3.1","3","1.79"
"barrie","213,323","3","1.41","1","0.47","2","196.3","2","1.00"
"toronto","6,059,112","82","1.35","82","1.37","0","-1.1","92","1.63"
"trois-rivieres","155,534","2","1.29","3","1.94","-1","-33.6","2","1.00"
"moncton","156,163","2","1.28","3","1.94","-1","-34.0","1","0.88"
"greater sudbury","164,266","2","1.22","1","0.61","1","100.5","2","1.28"
"montreal","4,065,823","47","1.16","38","0.94","9","22.7","48","1.26"
"kitchener-cambridge-waterloo","542,511","6","1.11","3","0.56","3","98.5","5","0.99"
"st. john's","205,776","2","0.97","1","0.49","1","99.3","2","0.78"
"hamilton","752,088","7","0.93","10","1.34","-3","-30.7","9","1.30"
"peterborough","122,304","1","0.82","1","0.82","0","-0.2","1","1.01"
"ottawa","996,621","7","0.70","7","0.71","0","-1.0","11","1.18"
"saguenay","167,507","1","0.60","0","0.00","1","..","1","0.71"
"sherbrooke","198,881","1","0.50","0","0.00","1","..","1","0.38"
"oshawa","429,782","2","0.47","0","0.00","2","..","3","0.75"
"gatineau","328,101","1","0.30","4","1.23","-3","-75.2","4","1.34"
"quebec","799,963","2","0.25","4","0.50","-2","-50.3","4","0.58"
"brantford","144,640","0","0.00","0","0.00","0","..","1","0.88"
"cma total","25,172,620","387","1.54","360","1.45","27","6.3","388","1.67"
"non-cma total","10,679,154","217","2.03","161","1.51","56","34.5","194","1.84"
"canada","35,851,774","604","1.68","521","1.47","83","14.9","582","1.72"
