"nation","synchronized diving","synchronized diving","synchronized diving","synchronized diving","individual diving","individual diving","individual diving","individual diving","total","total"
"nation","men's 3 m","men's 10 m","women's 3 m","women's 10 m","men's 3 m","men's 10 m","women's 3 m","women's 10 m","quotas","athletes"
"australia","none","none","x","none","2","2","2","2","9","9"
"austria","none","none","none","none","1","none","none","none","1","1"
"belarus","none","none","none","none","none","2","none","none","2","2"
"brazil","x","x","x","x","1","1","1","1","8","9"
"canada","none","none","x","x","1","2","2","2","9","7"
"china","x","x","x","x","2","2","2","2","12","13"
"colombia","none","none","none","none","1","2","1","none","4","4"
"croatia","none","none","none","none","none","none","1","none","1","1"
"egypt","none","none","none","none","1","1","1","1","4","4"
"france","none","none","none","none","1","1","none","1","3","3"
"germany","x","x","x","none","2","2","2","2","11","8"
"great britain","x","x","x","x","2","1","2","2","11","11"
"hungary","none","none","none","none","none","none","none","1","1","1"
"ireland","none","none","none","none","1","none","none","none","1","1"
"italy","x","none","x","none","2","1","2","1","8","8"
"jamaica","none","none","none","none","1","none","none","none","1","1"
"japan","none","none","none","none","2","none","none","1","3","3"
"malaysia","none","none","x","x","1","1","2","2","8","6"
"mexico","x","x","none","x","2","2","2","2","11","9"
"netherlands","none","none","none","none","none","none","1","none","1","1"
"new zealand","none","none","none","none","none","none","1","none","1","1"
"north korea","none","none","none","x","none","none","none","2","3","3"
"puerto rico","none","none","none","none","none","1","none","none","1","1"
"russia","x","x","none","none","2","2","2","2","10","8"
"south africa","none","none","none","none","none","none","1","none","1","1"
"south korea","none","none","none","none","1","1","none","none","2","1"
"ukraine","none","x","none","none","1","none","2","2","6","7"
"united states","x","x","none","x","2","2","2","2","11","10"
"venezuela","none","none","none","none","none","2","none","none","2","2"
"total: 29 nocs","8","8","8","8","29","28","29","28","146","136"
