"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"crewe alexandra","2011-12","league two","0","0","0","0","0","0","0","0","0","0"
"crewe alexandra","2012-13","league one","7","0","1","0","1","0","1","0","10","0"
"crewe alexandra","total","total","7","0","1","0","1","0","1","0","10","0"
"chester","2012-13","conference north","2","1","-","-","0","0","2","1","none","none"
"gateshead xi","2013-14","conference premier","0","0","0","0","-","-","1","3","1","3"
"chester","2013-14","conference premier","3","0","0","0","-","-","0","0","3","0"
"tamworth","2014-15","conference north","29","7","2","0","-","-","0","0","31","7"
"harrogate town","2015-16","national league north","40","22","1","1","-","-","2","0","43","23"
"afc fylde","2016-17","national league north","30","6","0","0","-","-","2","1","32","7"
"alfreton town","2017-18","national league north","36","13","0","0","-","-","0","0","36","13"
"port vale","2018-19","efl league two","0","0","0","0","0","0","1","0","1","0"
"altrincham","2018-19","national league north","7","0","0","0","0","0","0","0","7","0"
"a.f.c. telford united","2018-19","national league north","16","5","0","0","0","0","5","0","21","5"
"career total","career total","career total","170","54","4","1","1","0","12","4","187","59"
