"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"derby county","1960-61","second division","2","0","0","0","0","0","2","0"
"derby county","1961-62","second division","32","1","3","0","4","0","39","1"
"derby county","1962-63","second division","17","0","1","0","0","0","18","0"
"derby county","1963-64","second division","19","2","0","0","1","0","20","2"
"derby county","1964-65","second division","4","0","1","1","0","0","5","1"
"derby county","1965-66","second division","3","0","0","0","1","0","4","0"
"derby county","1966-67","second division","16","1","1","0","0","0","17","1"
"derby county","1967-68","second division","22","0","0","0","4","1","26","1"
"derby county","total","total","115","4","6","1","10","1","131","6"
"mansfield town","1968-69","third division","44","1","7","0","1","0","52","1"
"mansfield town","1969-70","third division","2","0","1","0","1","0","4","0"
"mansfield town","total","total","46","1","8","0","2","0","56","1"
"port vale","1970-71","third division","13","0","1","0","0","0","14","0"
"career total","career total","career total","174","5","15","1","12","1","201","7"
