"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"wigan athletic","1982-83","third division","28","6","0","0","1","0","29","6"
"wigan athletic","1983-84","third division","40","8","4","0","2","0","46","8"
"wigan athletic","1984-85","third division","29","5","2","0","8","4","39","9"
"wigan athletic","1985-86","third division","46","5","5","2","8","3","59","10"
"wigan athletic","1986-87","third division","45","16","5","2","7","2","57","20"
"wigan athletic","total","total","188","40","16","4","26","9","230","53"
"ipswich town","1987-88","second division","41","17","1","0","6","2","48","19"
"ipswich town","1988-89","second division","32","6","0","0","7","3","39","9"
"ipswich town","1989-90","second division","34","13","1","0","3","0","38","13"
"ipswich town","1990-91","second division","13","0","1","0","2","0","16","0"
"ipswich town","1991-92","second division","14","1","0","0","4","3","18","4"
"ipswich town","total","total","134","37","3","0","22","8","159","45"
"port vale","1991-92","second division","9","2","0","0","0","0","9","2"
"leicester city","1992-93","first division","32","11","2","0","3","1","37","12"
"leicester city","1993-94","first division","5","0","0","0","2","0","7","0"
"leicester city","1994-95","premier league","29","8","1","0","1","0","31","8"
"leicester city","1995-96","first division","28","3","1","0","4","0","33","3"
"leicester city","total","total","94","22","4","0","10","1","108","23"
"port vale","1993-94","second division","19","5","0","0","0","0","19","5"
"wigan athletic","1995-96","third division","7","3","0","0","0","0","7","3"
"wigan athletic","1996-97","third division","42","6","1","0","3","0","46","6"
"wigan athletic","1997-98","second division","43","16","3","1","5","1","51","18"
"wigan athletic","1998-99","second division","16","1","2","2","5","0","23","3"
"wigan athletic","total","total","108","26","6","3","13","1","127","30"
"wrexham","1999-2000","second division","10","1","0","0","1","0","11","1"
"rushden & diamonds","1999-2000","conference","12","4","0","0","0","0","12","4"
"career total","career total","career total","575","137","29","7","72","19","686","163"
