"","predicted probability"
"sex",""
"women","5.4"
"men","5.1"
"highest level of educational attainment",""
"bachelor's degree without further studies","6.8"
"bachelor's degree with further studies","3.0"
"university certificate or diploma above bachelor level without further studies","3.7"
"university certificate or diploma above bachelor level with further studies","2.6"
"degree in medicine, dentistry, veterinary medicine or optometry","2.3"
"master's degree without further studies","2.4"
"master's degree with further studies","0.4"
"doctorate acquired","0.5"
"field of study",""
"education","3.3"
"visual and performing arts, and communications technologies","8.2"
"humanities","11.4"
"social and behavioural sciences and law","8.3"
"business, management and public administration","5.4"
"physical and life sciences and technologies","5.7"
"mathematics, computer and information sciences","2.4"
"architecture, engineering, and related technologies","3.0"
"agriculture, natural resources and conservation","8.0"
"health and related fields","3.0"
"other","10.0"
"level of familiarity with official languages",""
"1. highest level","3.9"
"2","4.4"
"3","4.7"
"4","5.7"
"5","7.3"
"6. lowest level","8.5"
"location of study",""
"canada","3.8"
"north america","5.1"
"central and south america","7.3"
"caribbean and bermuda","12.1"
"western europe","5.7"
"eastern europe","10.9"
"northern europe","3.7"
"southern europe","7.1"
"sub-saharan africa","8.6"
"northern africa","7.3"
"west central asia","8.7"
"eastern asia","8.2"
"southeast asia","20.4"
"southern asia","18.2"
"oceania","6.2"
