"club","season","league","league","league","cup","cup","europe","europe","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"albinoleffe","2011-12","serie b","8","2","0","0","-","-","8","2"
"albinoleffe","2012-13","lega pro prima divisione","31","12","1","0","-","-","32","12"
"albinoleffe","2013-14","lega pro prima divisione","-","-","1","0","-","-","1","0"
"albinoleffe","total","total","39","14","2","0","-","-","41","14"
"palermo","2013-14","serie b","24","10","0","0","-","-","24","10"
"palermo","2014-15","serie a","38","6","1","0","-","-","39","6"
"palermo","2015-16","serie a","-","-","1","0","-","-","1","0"
"palermo","total","total","62","16","2","0","-","-","64","16"
"torino","2015-16","serie a","35","12","1","0","-","-","36","12"
"torino","2016-17","serie a","35","26","3","2","-","-","38","28"
"torino","2017-18","serie a","32","10","3","3","-","-","35","13"
"torino","2018-19","serie a","33","13","2","2","-","-","35","15"
"torino","total","total","135","61","9","7","-","-","144","68"
"career total","career total","career total","236","91","13","7","-","-","249","98"
