"area","companies reporting largest r&d location","r&d performance at largest location","utility patents originating from location"
"all areas","2931","106440","108592"
"atlanta-athens-clarke county-sandy springs, ga csa","60","989","1758"
"austin-round rock, tx msa","24","2159","2460"
"boston-worcester-providence ma-ri-nh csa","230","4524","5989"
"chicago-naperville, il-in-wi csa","103","4090","3073"
"cleveland-akron-canton, oh csa","30","535","1289"
"dallas-fort worth, tx csa","47","621","2249"
"denver-aurora, co csa","46","565","1531"
"detroit-warren-ann arbor, mi csa","98","7360","2972"
"houston-the woodlands, tx csa","49","1432","2182"
"los angeles-long beach, ca csa","214","8797","6065"
"milwaukee-racine-waukesha, wi csa","34","538","708"
"minneapolis-st. paul, mn-wi csa","88","1824","3183"
"new york-newark, ny-nj-ct-pa csa","209","8154","8996"
"philadelphia-reading-camden, pa-nj-de-md csa","70","3605","2169"
"phoenix-mesa-scottsdale, az msa","31","1061","1364"
"pittsburgh-new castle-weirton, pa-oh-wv csa","35","413","732"
"portland-vancouver-salem, or-wa msa","43","815","2038"
"raleigh-durham-chapel hill, nc csa","33","879","1732"
"salt lake city-provo-orem, ut csa","34","403","974"
"san diego-carlsbad, ca msa","91","3804","3293"
"san jose-san francisco-oakland, ca csa","380","23346","17596"
"seattle-tacoma-olympia, wa csa","76","10496","4208"
"st. louis-st. charles-farmington, mo-il csa","30","423","620"
"washington-baltimore-arlington, dc-md-va-wv csa","81","1679","2503"
"all other geographic areas reported as largest location","795","17928","28908"
