"","average assessment value","average assessment value","average assessment value","median assessment value","median assessment value","median assessment value"
"","owners who immigrated to canada as resettled refugees","canadian-born owners","difference","owners who immigrated to canada as resettled refugees","canadian-born owners","difference"
"","2017 dollars","2017 dollars","2017 dollars","2017 dollars","2017 dollars","2017 dollars"
"vancouver","","","","","",""
"all property types","861,400","1,073,000","-211,600","710,600","851,000","-140,400"
"single detached","1,283,600","1,512,400","-228,800","1,142,000","1,254,100","-112,100"
"semi-detached","1,009,400","1,270,200","-260,800","987,000","1,205,000","-218,000"
"row house","583,900","706,900","-123,000","545,600","617,000","-71,400"
"condominium","516,000","619,700","-103,700","463,000","515,000","-52,000"
"","2016 dollars","2016 dollars","2016 dollars","2016 dollars","2016 dollars","2016 dollars"
"toronto","","","","","",""
"all property types","614,800","715,000","-100,200","572,000","618,000","-46,000"
"single detached","768,800","849,300","-80,500","696,000","724,000","-28,000"
"semi-detached","562,000","656,800","-94,800","538,000","587,000","-49,000"
"row house","451,400","520,600","-69,200","441,000","463,000","-22,000"
"condominium","328,300","420,400","-92,100","303,000","359,000","-56,000"
