"club","nation","from","to","league record","league record","league record","league record","league record","league record","league record","league record","none","cup record","cup record","cup record","cup record","cup record","cup record","cup record","cup record"
"club","nation","from","to","p","w","d","l","gf","ga","+/-","win %","none","p","w","d","l","gf","ga","+/-","win %"
"hnk sibenik","croatia","1 september 2011","12 february 2013","39","12","13","14","42","45","-3","30.77","none","2","0","1","1","1","3","-2","0.00"
"beijing baxy","china","26 february 2013","14 january 2015","60","25","21","14","80","69","+11","41.67","none","α","α","α","α","α","α","α","α"
"tianjin songjiang","china","11 may 2015","1 november 2015","22","8","8","6","22","19","+3","36.36","none","β","β","β","β","β","β","β","β"
"zhejiang yiteng","china","10 january 2016","22 march 2016","2","0","0","2","2","7","-5","0.00","none","none","none","none","none","none","none","none","none"
"hnk sibenik","croatia","22 may 2016","30 may 2016","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","none","2","0","2","0","2","2","+0","0.00"
"nk istra 1961","croatia","22 july 2016","december 2016","15","4","6","5","17","19","-2","26.67","none","2","1","0","1","4","4","+0","50.00"
"shenzhen","china","5 december 2016","14 june 2017","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","none","none","none","none","none","none","none","none","none"
"nk lokomotiva","croatia","27 december 2017","present","47","21","13","13","75","50","+25","44.68","none","4","2","0","2","6","4","+2","50.00"
"total","none","1 september 2011","present","185","70","61","54","238","209","+29","37.84","none","10","3","4","3","13","13","+0","30.00"
