"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"wrexham","2000-01","second division","1","0","0","0","0","0","0","0","1","0"
"wrexham","2001-02","second division","12","0","0","0","0","0","0","0","12","0"
"wrexham","2002-03","third division","27","0","1","0","2","0","2","0","32","0"
"wrexham","2003-04","second division","21","0","0","0","1","0","1","0","23","0"
"wrexham","2004-05","league one","35","0","2","0","2","0","5","1","44","1"
"wrexham","2005-06","league two","26","0","0","0","1","0","0","0","27","0"
"wrexham","2006-07","league two","33","0","3","0","1","0","0","0","37","0"
"wrexham","2007-08","league two","19","0","1","0","2","0","0","0","22","0"
"wrexham","2008-09","conference premier","1","0","0","0","-","-","0","0","1","0"
"wrexham","total","total","175","0","7","0","9","0","8","1","199","1"
"york city","2008-09","conference premier","15","0","-","-","4","0","19","0","none","none"
"vancouver whitecaps","2009","usl first division","9","0","-","-","6","0","15","0","none","none"
"crystal palace baltimore","2010","ussf division 2 professional league","19","2","0","0","-","-","19","2","none","none"
"bangor city","2011-12","welsh premier league","11","1","0","0","-","-","11","1","none","none"
"career total","career total","career total","229","3","7","0","9","0","18","1","263","4"
