"club","season","league","league","league","cup","cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"gremio","2013","serie a","0","0","0","0","4","0","4","0"
"oeste","2012","paulista a1","0","0","0","0","2","0","2","0"
"red bull brasil","2014","serie d","0","0","0","0","8","1","8","1"
"atenas","2014-15","primera division","26","1","0","0","-","-","26","1"
"red bull brasil","2015","serie d","8","0","0","0","0","0","8","0"
"red bull brasil","2016","serie d","0","0","1","0","2","0","3","0"
"red bull brasil","total","total","8","0","1","0","2","0","11","0"
"mumbai city","2016","indian super league","14","1","-","-","14","1","none","none"
"atletico tubarao","2017","catarinense a1","-","-","0","0","14","1","14","1"
"mumbai city","2017-18","indian super league","17","0","0","0","-","-","17","0"
"renofa yamaguchi","2018","j2 league","4","0","0","0","-","-","4","0"
"atk","2018-19","indian super league","4","0","0","0","-","-","4","0"
"career total","career total","career total","73","2","1","0","30","2","104","4"
