"","all job vacancies","all job vacancies","full-time job vacancies","full-time job vacancies"
"","vacant for less than 90 days","vacant for 90 days or more","vacant for less than 90 days","vacant for 90 days or more"
"","dollars","dollars","dollars","dollars"
"all vacant positions","19.63","23.61","21.94","25.71"
"main industrial sector","","","",""
"construction","22.19","24.22","22.53","24.24"
"manufacturing","20.48","27.04","20.99","27.35"
"wholesale trade","22.34","26.68","23.13","27.24"
"retail trade","13.57","13.71","16.84","18.64"
"transportation and warehousing","20.95","27.79","22.47","30.04"
"professional, scientific and technical services","27.78","32.71","29.20","33.23"
"administrative and support services","17.11","21.46","17.99","22.50"
"educational services","26.82","29.64","27.42","31.11"
"health care and social assistance","22.95","27.87","24.61","29.36"
"accommodation and food services","12.32","14.28","13.05","14.80"
"other","22.11","25.35","24.17","26.79"
"occupational category","","","",""
"management","33.89","37.35","35.30","38.93"
"business, finance and administration","21.69","24.17","22.97","25.65"
"natural and applied sciences and related occupations","29.54","34.46","29.75","34.57"
"health","25.36","29.65","26.73","30.72"
"education, law and social, community and government services","23.88","27.80","25.41","29.26"
"art, culture, recreation and sport","17.90","20.98","19.50","22.39"
"sales and service","13.45","14.61","14.97","16.44"
"trades, transport and equipment operators and related occupations","20.19","22.06","20.84","22.43"
"natural resources, agriculture and related production occupations","14.88","14.35","15.08","14.31"
"manufacturing and utilities","15.93","18.47","16.20","18.64"
"level of education required","","","",""
"no minimum level of education sought","13.70","15.24","15.05","16.72"
"high school diploma or equivalent","15.45","17.03","16.59","18.62"
"apprenticeship or trades certificate or diploma","21.19","21.80","22.51","22.50"
"college, cegep or other non-university certificate or diploma","23.05","25.07","24.06","25.58"
"university certificate or diploma below bachelor's degree","28.43","32.49","29.07","33.77"
"bachelor's degree","34.40","37.57","34.87","38.59"
"university certificate or diploma above bachelor's degree","39.95","44.46","40.62","44.90"
"work experience required","","","",""
"less than 1 year","15.46","18.93","16.89","21.40"
"1 year to less than 3 years","18.24","20.17","19.16","20.19"
"3 years to less than 5 years","25.90","26.36","26.34","26.23"
"5 years to less than 8 years","32.48","34.70","32.84","35.13"
"8 years or more","47.04","50.90","48.05","50.85"
