"team","year","regular season","regular season","regular season","regular season","regular season","post season","post season","post season","post season"
"team","year","won","lost","ties","win %","finish","won","lost","win %","result"
"national football league","national football league","national football league","national football league","national football league","national football league","national football league","national football league","national football league","national football league","national football league"
"cle","1984","4","4","0",".500","3rd in afc central","none","none","none","none"
"cle","1985","8","8","0",".500","1st in afc central","0","1",".000","lost to miami dolphins in divisional game"
"cle","1986","12","4","0",".750","1st in afc central","1","1",".500","lost to denver broncos in afc championship game"
"cle","1987","10","5","0",".667","1st in afc central","1","1",".500","lost to denver broncos in afc championship game"
"cle","1988","10","6","0",".625","2nd in afc central","0","1",".000","lost to houston oilers in afc wild-card game"
"cle total","cle total","44","27","0",".620","none","2","4",".333","none"
"kc","1989","8","7","1",".533","2nd in afc west","none","none","none","none"
"kc","1990","11","5","0",".688","2nd in afc west","0","1",".000","lost to miami dolphins in wild card game"
"kc","1991","10","6","0",".625","2nd in afc west","1","1",".500","lost to buffalo bills in divisional game"
"kc","1992","10","6","0",".625","2nd in afc west","0","1",".000","lost to san diego chargers in wild card game"
"kc","1993","11","5","0",".688","1st in afc west","2","1",".667","lost to buffalo bills in afc championship"
"kc","1994","9","7","0",".563","2nd in afc west","0","1",".000","lost to miami dolphins in afc wild-card game"
"kc","1995","13","3","0",".813","1st in afc west","0","1",".000","lost to indianapolis colts in afc divisional game"
"kc","1996","9","7","0",".563","2nd in afc west","none","none","none","none"
"kc","1997","13","3","0",".813","1st in afc west","0","1",".000","lost to denver broncos in afc divisional game"
"kc","1998","7","9","0",".438","4th in afc west","none","none","none","none"
"kc total","kc total","101","58","1",".635","none","3","7",".300","none"
"was","2001","8","8","0",".500","2nd in nfc east","none","none","none","none"
"was total","was total","8","8","0",".500","none","none","none","none","none"
"sd","2002","8","8","0",".500","3rd in afc west","none","none","none","none"
"sd","2003","4","12","0",".250","4th in afc west","none","none","none","none"
"sd","2004","12","4","0",".750","1st in afc west","0","1",".000","lost to new york jets in afc wild-card game"
"sd","2005","9","7","0",".563","3rd in afc west","none","none","none","none"
"sd","2006","14","2","0",".875","1st in afc west","0","1",".000","lost to new england patriots in afc divisional game"
"sd total","sd total","47","33","0",".588","none","0","2",".000","none"
"nfl total","nfl total","200","126","1",".613","none","5","13",".278","none"
"united football league","united football league","united football league","united football league","united football league","united football league","united football league","united football league","united football league","united football league","united football league"
"va","2011","4","1","0",".800","1st in ufl","1","0","1.000","beat las vegas locomotives in ufl championship game"
"va total","va total","4","1","0",".800","none","1","0","1.000","none"
"ufl total","ufl total","4","1","0",".800","none","1","0","1.000","none"
