"visible minority group","females","females","males","males"
"visible minority group","number","percent","number","percent"
"total visible minority population","798,670","100.0","837,225","100.0"
"south asian","206,710","25.9","223,740","26.7"
"black","151,570","19.0","153,730","18.4"
"chinese","133,325","16.7","132,525","15.8"
"filipino","74,830","9.4","81,375","9.7"
"arab","56,680","7.1","59,040","7.1"
"latin american","41,355","5.2","44,065","5.3"
"southeast asian","35,935","4.5","38,810","4.6"
"west asian","23,075","2.9","24,510","2.9"
"korean","17,210","2.2","19,705","2.4"
"japanese","10,055","1.3","10,675","1.3"
"other visible minority","14,840","1.9","14,365","1.7"
"multiple visible minorities","33,080","4.1","34,700","4.1"
