"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"tiro federal","2013-14","torneo argentino b","24","13","0","0","-","-","0","0","24","13"
"libertad","2014","torneo federal a","10","5","0","0","-","-","2","0","12","5"
"juventud unida","2015","primera b nacional","23","0","0","0","-","-","0","0","23","0"
"guillermo brown","2016","primera b nacional","14","3","0","0","-","-","0","0","14","3"
"alianza petrolera","2016","categoria primera a","10","0","0","0","-","-","0","0","10","0"
"almagro","2016-17","primera b nacional","12","1","1","0","-","-","0","0","13","1"
"guillermo brown","2017-18","primera b nacional","23","5","1","0","-","-","0","0","24","5"
"gimnasia y esgrima","2018-19","primera b nacional","7","0","0","0","-","-","0","0","7","0"
"career total","career total","career total","123","27","2","0","-","-","2","0","127","27"
