"region, country, or economy","u.s. share of region's, country's, or economy's international articles","region's, country's, or economy's share of u.s. international articles"
"world","39.3","na"
"china","45.9","19.8"
"united kingdom","29.5","13"
"germany","28.7","11.4"
"canada","44.3","10.5"
"france","25.1","7.7"
"italy","29","6.6"
"australia","28.9","5.9"
"japan","32.7","5.5"
"south korea","49.2","5.2"
"spain","24.8","4.9"
"netherlands","29.9","4.7"
"switzerland","30.1","4.2"
"india","32.8","3.4"
"brazil","34.8","3.4"
"sweden","27.6","3"
