"club","season","league","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"middlesbrough","1924-25","second division","13","0","0","0","-","-","13","0"
"middlesbrough","1925-26","second division","35","0","1","0","-","-","36","0"
"middlesbrough","1926-27","second division","41","1","3","0","-","-","44","1"
"middlesbrough","1927-28","first division","15","1","2","0","-","-","17","1"
"middlesbrough","1928-29","second division","3","0","1","0","-","-","4","0"
"middlesbrough","1929-30","first division","31","0","6","0","-","-","37","0"
"middlesbrough","1930-31","first division","4","0","0","0","-","-","4","0"
"middlesbrough","1931-32","first division","18","0","1","0","-","-","19","0"
"middlesbrough","total","total","160","2","14","0","-","-","174","2"
"queens park rangers","1932-33","third division south","15","0","0","0","-","-","15","0"
"queens park rangers","1933-34","third division south","42","0","4","0","1","0","47","0"
"queens park rangers","1934-35","third division south","21","0","1","0","3","0","25","0"
"queens park rangers","total","total","78","0","5","0","4","0","87","0"
"darlington","1935-36","third division north","14","0","0","0","1","0","15","0"
"career total","career total","career total","252","2","19","0","5","0","276","2"
