"","probability to export","probability to export","number of products","number of products","average value per product","average value per product"
"","column 7","column 8","column 9","column 10","column 11","column 12"
"immigrant-owned in t-1","","","","","",""
"coefficient","0.008","-0.000","0.055","-0.012","0.542","0.366"
"standard error","0.001","0.001","0.024","0.026","0.061","0.068"
"exports to the region of birth","","","","","",""
"coefficient","..","0.060","..","0.228","..","0.607"
"standard error","..","0.002","..","0.034","..","0.083"
"combined effect","","","","","",""
"coefficient","..","0.060","..","0.216","..","0.972"
"standard error","..","0.003","..","0.034","..","0.081"
"number of observations","679,686","679,686","18,527","18,527","18,527","18,527"
"r-squared","0.060","0.063","0.062","0.065","0.157","0.160"
