"","all trade types","all trade types","cross-border","domestic united states","domestic canada"
"","column 1","column 2","column 3","column 4","column 5"
"canada-united states border","","","","",""
"coefficient","-0.626","-0.723","..","..",".."
"robust standard error","0.061","0.055","..","..",".."
"distance","","","","",""
"coefficient","-1.182","-1.086","-0.959","-1.140","-0.773"
"robust standard error","0.013","0.020","0.049","0.020","0.049"
"intra-regional flows","yes","no","no","no","no"
"number of observations","3,364","3,306","960","2,256","90"
