"year","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"year","team","gp","gs","att","yards","avg","lng","td","rec","yards","avg","lng","td","fum","lost"
"2010","tb","13","7","201","1,007","5.0","53","6","5","14","2.8","7","0","4","3"
"2011","tb","14","14","184","781","4.2","54","5","15","148","9.9","35","0","5","3"
"2012","tb","13","0","41","151","3.7","35","2","1","2","2.0","2","0","0","0"
"2013","ne","16","7","153","772","5.0","47","7","2","38","19.0","32","0","3","2"
"2014","pit","11","0","65","266","4.1","50","2","6","36","6.0","13","0","1","1"
"2014","ne","5","1","60","281","4.7","34","3","4","18","4.5","11","0","0","0"
"2015","ne","12","6","165","703","4.3","38","6","6","43","7.2","14","1","1","0"
"2016","ne","16","8","299","1,161","3.9","44","18","7","38","5.4","16","0","2","1"
"2017","phi","16","11","173","766","4.4","68","2","8","50","6.3","20","1","1","1"
"2018","det","16","8","154","418","2.7","27","5","10","67","6.7","23","0","2","1"
"career","career","132","62","1,495","8,306","4.2","68","56","64","454","7.1","35","2","19","12"
