"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"birmingham city","1992-93","first division","19","7","1","0","0","0","2","0","22","7"
"birmingham city","1993-94","first division","24","9","0","0","2","1","0","0","26","10"
"birmingham city","total","total","43","16","1","0","2","1","2","0","48","17"
"stoke city","1994-95","first division","40","13","2","0","3","2","4","0","49","15"
"stoke city","1995-96","first division","26","6","1","0","3","1","2","2","32","9"
"stoke city","total","total","66","19","3","0","6","3","6","2","81","24"
"birmingham city","1995-96","first division","9","1","0","0","0","0","0","0","9","1"
"west bromwich albion","1996-97","first division","37","15","1","0","1","0","0","0","39","15"
"west bromwich albion","1997-98","first division","8","3","0","0","4","3","0","0","12","6"
"west bromwich albion","total","total","45","18","1","0","5","3","0","0","51","21"
"fulham","1997-98","second division","32","13","3","0","0","0","2","0","37","13"
"fulham","1998-99","second division","33","7","5","2","2","1","0","0","40","10"
"fulham","1999-2000","first division","30","4","2","0","4","3","0","0","36","7"
"fulham","2000-01","first division","0","0","0","0","2","0","0","0","2","0"
"fulham","total","total","95","24","10","2","8","4","2","0","115","30"
"queens park rangers","2000-01","first division","5","1","0","0","0","0","0","0","5","1"
"sheffield united","2000-01","first division","5","2","0","0","0","0","0","0","5","2"
"norwich city","2000-01","first division","5","0","0","0","0","0","0","0","5","0"
"sheffield united","2001-02","first division","29","6","0","0","2","0","0","0","31","6"
"sheffield united","2002-03","first division","23","3","4","1","5","2","2","1","34","7"
"sheffield united","2003-04","first division","27","8","4","1","1","0","0","0","32","9"
"sheffield united","total","total","79","17","8","2","8","2","2","1","97","22"
"derby county","2003-04","first division","11","4","0","0","0","0","0","0","11","4"
"derby county","2004-05","championship","32","8","1","1","1","0","2","0","36","9"
"derby county","2005-06","championship","34","5","2","2","1","0","0","0","37","7"
"derby county","2006-07","championship","14","3","2","1","2","0","1","0","19","4"
"derby county","total","total","91","20","5","4","4","0","3","0","103","24"
"luton town","2007-08","league one","4","0","0","0","0","0","1","1","5","1"
"career total","career total","career total","447","118","28","8","33","13","16","4","524","143"
