"club","season","league","league","league","national cup","national cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"atvidabergs ff","2009","superettan","8","0","-","-","8","0"
"atvidabergs ff","2010","allsvenskan","1","0","1","1","2","1"
"atvidabergs ff","2011","superettan","12","2","3","1","15","3"
"atvidabergs ff","total","total","21","2","4","2","25","4"
"motala aif","2012","division 2 o gotaland","?","?","1","1","1","1"
"motala aif","2013","division 2 s svealand","?","?","-","-","0","0"
"motala aif","2014","division 1 sodra","24","4","1","0","25","4"
"motala aif","total","total","24","4","2","1","26","5"
"fc linkoping city","2015","division 2","12","2","-","-","12","2"
"fc linkoping city","total","total","12","2","-","-","12","2"
"career total","career total","career total","57","8","6","3","63","11"
