"","2010","2011","2012","2013","2014","2011","2012","2013","2014"
"","millions of dollars","millions of dollars","millions of dollars","millions of dollars","millions of dollars","percentage change","percentage change","percentage change","percentage change"
"canada","47,384.3","49,343.3","50,926.0","53,107.4","54,614.7","4.1","3.2","4.3","2.8"
"newfoundland and labrador","386.2","418.3","442.3","445.9","449.8","8.3","5.7","0.8","0.9"
"prince edward island","122.5","122.1","121.9","124.0","123.2","-0.3","-0.2","1.7","-0.6"
"nova scotia","823.3","814.8","904.9","929.2","949.1","-1.0","11.1","2.7","2.1"
"new brunswick","625.1","621.4","664.9","681.6","670.5","-0.6","7.0","2.5","-1.6"
"quebec","10,708.8","10,939.1","11,164.7","11,609.3","11,887.6","2.2","2.1","4.0","2.4"
"ontario","21,921.1","22,940.2","23,355.3","24,545.0","25,297.7","4.6","1.8","5.1","3.1"
"manitoba","1,376.6","1,455.2","1,571.0","1,647.5","1,698.8","5.7","8.0","4.9","3.1"
"saskatchewan","816.4","843.6","966.1","977.1","1,009.2","3.3","14.5","1.1","3.3"
"alberta","4,704.1","5,010.7","5,338.7","5,529.2","5,681.2","6.5","6.5","3.6","2.7"
"british columbia","5,731.6","5,998.4","6,218.0","6,437.3","6,666.6","4.7","3.7","3.5","3.6"
"yukon","54.4","54.2","54.0","54.3","54.6","-0.4","-0.4","0.6","0.6"
"northwest territories","67.1","71.4","69.7","71.5","69.8","6.4","-2.4","2.6","-2.4"
"nunavut","47.2","53.7","54.6","55.4","56.6","13.8","1.7","1.5","2.2"
