"selected characteristics of victims","2018","2018","2018","2018","2016","2016","2016","2016"
"selected characteristics of victims","male victims","female victims","total victims","total victims","male victims","female victims","total victims","total victims"
"selected characteristics of victims","percent","percent","number","percent","percent","percent","number","percent"
"environmental command","","","","","","","",""
"canadian army","1.2","5.7","360","1.7","1.3","6.0","380","1.8"
"royal canadian navy","1.6","6.0","170","2.2","1.7","7.0","190","2.4"
"royal canadian air force","1.0","4.5","190","1.5","0.8","4.1","160","1.3"
"military personnel command","0.9","2.4","70","1.4","1.2","4.4","120","2.3"
"other","0.8","2.9","110","1.2","0.9","2.7","100","1.2"
"indigenous identity","","","","","","","",""
"indigenous (first nations, metis, inuit) person","1.9","7.7","70","3.0","2.0","f","50","2.3"
"non-indigenous person","1.1","4.1","820","1.5","1.2","4.9","910","1.7"
"persons with disabilities","","","","","","","",""
"persons with disabilities","2.4","f","70","3.0","2.3","f","50","2.6"
"persons without disabilities","1.1","4.2","830","1.5","1.1","4.8","900","1.7"
"visible minority","","","","","","","",""
"visible minority","1.8","6.8","100","2.5","2.3","6.0","90","2.7"
"non-visible minority","1.1","4.1","790","1.5","1.1","4.8","870","1.6"
"rank","","","","","","","",""
"junior non-commissioned member","1.5","5.4","610","2.0","1.7","6.2","690","2.3"
"senior non-commissioned member","0.7","2.3","120","0.9","0.5","3.3","120","0.9"
"junior officer","1.0","5.1","120","1.8","1.1","4.3","120","1.7"
"senior officer","0.4","2.3","40","0.7","f","2.0","30","0.5"
"age group","","","","","","","",""
"24 years and younger","2.6","15.4","180","3.9","2.1","10.2","130","2.9"
"25 to 29 years","1.6","8.0","250","2.5","2.1","9.7","320","3.0"
"30 to 34 years","1.0","3.7","160","1.4","1.2","4.9","190","1.7"
"35 to 39 years","0.9","2.9","130","1.3","0.9","3.8","130","1.4"
"40 to 44 years","0.8","2.8","90","1.2","0.8","2.8","80","1.1"
"45 to 49 years","0.7","f","50","0.8","0.6","2.7","60","0.9"
"50 years and older","0.4","f","40","0.6","0.4","2.3","50","0.7"
"total","1.1","4.3","900","1.6","1.2","4.8","960","1.7"
