"","1998","2000","2002","2004","2006","2008","2010","2012"
"","percent","percent","percent","percent","percent","percent","percent","percent"
"mothers","","","","","","","",""
"with pre-birth-year, birth-year, or post-birth-year roe; and received ei in the birth year","33.3","34.4","38.9","38.7","40.4","39.8","39.8","40.6"
"with pre-birth-year, birth-year, or post-birth-year roe; and received ei after the child's birth year","2.1","2.3","2.6","2.8","2.9","3.0","2.8","2.8"
"no roe for parental leave, received ei, temporary leave","5.1","5.6","4.3","5.3","5.6","6.6","6.4","6.5"
"no roe for parental leave, received ei, permanently quit","1.1","1.3","1.0","1.0","1.0","1.2","0.9","0.9"
"no roe for parental leave, received ei, other permanent leave","2.3","2.4","2.3","2.4","2.4","2.5","2.4","2.4"
"no roe at all, received ei","8.4","7.9","10.1","9.9","11.1","11.1","11.4","10.5"
"total","52.1","53.8","59.1","60.1","63.5","64.2","63.7","63.8"
"fathers","","","","","","","",""
"with pre-birth-year, birth-year, or post-birth-year roe; and received ei in the birth year","0.9","1.4","4.7","5.3","5.1","4.1","3.0","2.6"
"with pre-birth-year, birth-year, or post-birth-year roe; and received ei after the child's birth year","0.4","0.8","2.2","2.7","2.0","1.3","0.9","0.8"
"no roe for parental leave, received ei, temporary leave","9.1","7.9","7.7","7.6","13.1","16.1","18.2","18.4"
"no roe for parental leave, received ei, permanently quit","1.1","1.1","1.1","1.1","1.0","1.1","1.1","0.9"
"no roe for parental leave, received ei, other permanent leave","2.9","2.6","2.9","2.4","2.1","2.3","2.6","2.3"
"no roe at all, received ei","3.6","2.8","3.4","2.9","3.3","3.0","4.5","3.1"
"total","17.9","16.7","22.1","22.0","26.6","27.8","30.4","28.0"
