"rank","athlete","attempts","attempts","attempts","attempts","attempts","attempts","distance","note"
"rank","athlete","1","2","3","4","5","6","distance","note"
"none","mike powell","7.85","8.54","8.29","x","8.95","x","8.95 m","wr"
"none","carl lewis","8.68","x","8.83w","8.91w","8.87","8.84","8.91 m","pb"
"none","larry myricks","none","none","none","none","none","none","8.42 m","none"
"4","dietmar haaf","none","none","none","none","none","none","8.22 m","none"
"5","bogdan tudor","none","none","none","none","none","none","8.06 m","none"
"6","dave culbert","none","none","none","none","none","none","8.02 m","none"
"7","giovanni evangelisti","none","none","none","none","none","none","8.01 m","none"
"8","vladimir ochkan","none","none","none","none","none","none","7.99 m","none"
"none","none","none","none","none","none","none","none","none","none"
"9","jaime jefferson","none","none","none","none","none","none","7.94 m","none"
"10","andre muller","none","none","none","none","none","none","7.94 m","none"
"11","chen zunrong","none","none","none","none","none","none","7.92 m","none"
"12","konstandinos koukodimos","none","none","none","none","none","none","7.92 m","none"
"13","george ogbeide","none","none","none","none","none","none","7.78 m","none"
