"selected characteristic","2008","2009","2010"
"u.s.-located companies","","",""
"domestic r&d performance","290680","282393","278977"
"source of funds","","",""
"paid for by the company","232505","224920","221706"
"paid for by others","58176","57473","57271"
"federal","36360","39573","34199"
"othera","21816","17900","23072"
"linked parent companies of u.s. mncs","","",""
"domestic r&d performance","193465","198335","197163"
"source of funds","","",""
"paid for by the company","157782","162968","162421"
"paid for by others","35684","35367","34742"
"federal","28827","27386","25524"
"othera","6856","7982","9218"
"linked u.s. affiliates of foreign mncs","","",""
"domestic r&d performance","35054","35538","39700"
"source of funds","","",""
"paid for by the company","29059","27798","30175"
"paid for by others","5996","7739","9524"
"federal","1414","1749","1469"
"othera","4581","5990","8055"
