"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"newell's old boys","2013-14","primera division","0","0","0","0","0","0","0","0","0","0"
"newell's old boys","2014","primera division","0","0","0","0","-","-","0","0","0","0"
"newell's old boys","2015","primera division","0","0","0","0","-","-","0","0","0","0"
"newell's old boys","2016","primera division","8","1","1","1","-","-","0","0","9","2"
"newell's old boys","2016-17","primera division","11","3","2","0","-","-","0","0","13","3"
"newell's old boys","2017-18","primera division","25","3","2","0","2","0","0","0","29","3"
"newell's old boys","2018-19","primera division","15","4","3","1","-","-","0","0","18","5"
"newell's old boys","total","total","59","11","8","2","2","0","0","0","69","13"
"san lorenzo","2018-19","primera division","0","0","0","0","0","0","0","0","0","0"
"career total","career total","career total","59","11","8","2","2","0","0","0","69","13"
