"year","song","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","song","us","us alt","us main","aus","ger","nld","nor","nz","swi","uk","certifications","album"
"1983","quiet in heaven/song of liberty","-","-","-","-","-","-","-","-","-","-","none","non-album single"
"1987","chinese arithmetic","-","-","-","-","-","-","-","-","-","-","none","introduce yourself"
"1987","we care a lot","-","-","-","-","-","-","-","40","-","53","none","introduce yourself"
"1988","anne's song","-","-","-","-","-","-","-","-","-","-","none","introduce yourself"
"1989","from out of nowhere","-","-","-","83","-","-","-","-","-","23","none","the real thing"
"1989","epic","9","-","25","1","-","51","-","2","-","25","riaa: gold aria: platinum rianz: gold","the real thing"
"1990","falling to pieces","92","-","40","26","-","-","-","16","-","41","none","the real thing"
"1990","surprise! you're dead!","-","-","-","-","-","-","-","-","-","-","none","the real thing"
"1990","edge of the world","-","-","-","-","-","-","-","-","-","-","none","the real thing"
"1992","midlife crisis","-","1","32","31","32","36","-","32","-","10","none","angel dust"
"1992","a small victory","-","11","-","84","-","-","-","-","-","29","none","angel dust"
"1992","everything's ruined","-","-","-","63","-","-","-","-","-","28","none","angel dust"
"1993","easy","58","-","-","1","20","10","2","6","9","3","aria: platinum","angel dust"
"1993","another body murdered","-","-","-","-","-","-","-","41","-","26","none","judgment night soundtrack"
"1995","digging the grave","-","-","-","12","48","-","11","16","42","16","none","king for a day, fool for a lifetime"
"1995","ricochet","-","-","-","58","-","-","-","-","-","27","none","king for a day, fool for a lifetime"
"1995","evidence","-","-","-","27","-","42","-","38","-","32","none","king for a day, fool for a lifetime"
"1997","ashes to ashes","-","-","23","8","76","-","14","39","50","15","aria: gold","album of the year"
"1997","last cup of sorrow","-","-","14","66","-","-","-","32","-","51","none","album of the year"
"1997","stripsearch","-","-","-","83","-","-","-","-","-","-","none","album of the year"
"1998","this town ain't big enough for both of us","-","-","-","69","-","-","-","-","7","40","none","plagiarism"
"1998","i started a joke","-","-","-","58","-","-","-","38","-","49","none","who cares a lot?"
"2014","motherfucker","-","-","-","-","-","-","-","-","-","-","none","sol invictus"
"2015","superhero","-","-","-","-","-","-","-","-","-","-","none","sol invictus"
"2016","cone of shame","-","-","-","-","-","-","-","-","-","-","none","sol invictus"
"none",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart",""-" denotes a release that did not chart"
