"no","pos","nat","player","total","total","primeira divisao","primeira divisao","taca de portugal","taca de portugal","european cup","european cup","supertaca","supertaca","iberian cup","iberian cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","portugal","manuel bento","43","0","29","0","4","0","6","0","2","0","2","0"
"2","df","portugal","minervino pietra","39","3","27","3","3","0","5","0","2","0","2","0"
"2","df","portugal","antonio veloso","16","0","12","0","0","0","2","0","0","0","2","0"
"3","df","portugal","antonio oliveira","36","1","24","1","4","0","4","0","2","0","2","0"
"3","df","portugal","humberto coelho","3","1","2","1","1","0","0","0","0","0","0","0"
"3","df","portugal","alvaro magalhaes","44","2","30","1","4","1","6","0","2","0","2","0"
"4","df","portugal","samuel quina","1","0","0","0","1","0","0","0","0","0","0","0"
"4","df","portugal","alberto bastos lopes","6","0","5","0","1","0","0","0","0","0","0","0"
"5","df","portugal","antonio bastos lopes","41","0","28","0","3","0","6","0","2","0","2","0"
"6","mf","portugal","jose luis","41","4","29","4","4","0","4","0","2","0","2","0"
"6","mf","portugal","carlos manuel","42","7","28","5","4","2","6","0","2","0","2","0"
"7","fw","portugal","nene","38","30","26","21","3","4","5","2","2","0","2","3"
"8","mf","sweden","glenn stromberg","38","6","25","3","3","1","6","2","2","0","2","0"
"8","fw","denmark","michael manniche","33","16","21","11","4","3","6","2","1","0","1","0"
"9","fw","socialist federal republic of yugoslavia","zoran filipovic","16","9","8","7","0","0","5","1","1","0","2","1"
"9","fw","portugal","paulo padinha","5","0","2","0","1","0","1","0","0","0","1","0"
"10","mf","portugal","fernando chalana","33","7","23","7","4","0","4","0","2","0","0","0"
"11","mf","portugal","diamantino miranda","42","26","29","19","3","3","6","3","2","1","2","0"
"11","mf","portugal","sheu","38","2","27","2","4","0","3","0","2","0","2","0"
"12","gk","portugal","delgado","3","0","2","0","1","0","0","0","0","0","0","0"
