"socio-demographic or economic characteristic","being approachable and easy to talk to","ensuring safety of citizens","promptly responding to calls","treating people fairly","enforcing the laws","providing information on ways to prevent crime"
"socio-demographic or economic characteristic","percent","percent","percent","percent","percent","percent"
"sex","","","","","",""
"male","71","70","67","67","63","61"
"female","74","70","70","69","66","63"
"age group","","","","","",""
"15 to 24 years","61","68","66","64","58","53"
"25 to 34 years","64","65","62","59","58","51"
"35 to 44 years","74","68","67","69","64","60"
"45 to 54 years","75","69","67","69","65","63"
"55 to 64 years","79","72","69","70","68","68"
"65 to 74 years","82","77","75","75","71","73"
"75 years and older","86","82","83","81","76","77"
"marital status","","","","","",""
"married/common law","76","71","69","71","66","64"
"separated/divorced","73","69","66","64","64","64"
"single","63","67","65","62","60","54"
"widowed","85","81","82","79","74","75"
"level of education","","","","","",""
"less than high school","75","75","72","72","67","67"
"high school diploma","71","70","67","67","62","62"
"post-secondary diploma or certificate","73","69","67","69","64","63"
"university degree","72","70","70","67","67","58"
"main activity in the last 12 months","","","","","",""
"working at a paid job or business","71","68","66","67","63","60"
"looking for paid work","64","64","66","59","61","55"
"going to school","65","71","70","67","61","53"
"caring, household work","75","69","66","69","63","62"
"retired","82","78","76","76","72","73"
"other","70","68","65","64","62","63"
"household income","","","","","",""
"less than $20,000","74","72","70","68","65","65"
"$20,000 to $39,999","78","76","73","72","69","70"
"$40,000 to $59,999","74","72","71","68","65","65"
"$60,000 to $99,999","74","70","69","70","64","63"
"$100,000 to $149,999","73","70","68","71","65","62"
"$150,000 or more","71","69","67","66","63","59"
"visible minority","","","","","",""
"visible minority","70","70","71","66","65","58"
"non-visible minority","73","70","68","69","65","63"
"aboriginal identity","","","","","",""
"aboriginal","64","60","52","57","51","55"
"non-aboriginal","73","71","69","68","65","62"
"immigrant status","","","","","",""
"non-immigrant","72","70","67","68","64","61"
"longer-term immigrant","75","72","73","67","68","63"
"recent immigrant","74","75","78","74","71","63"
"immigrant, length of time in canada unknown","79","78","74","67","68","65"
"total - believe police are doing a good job","73","70","68","68","65","62"
