"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"ca bizertin","2006-07","tunisian ligue 1","?","?","?","?","?","?","?","?"
"ca bizertin","2007-08","tunisian ligue 1","?","?","?","?","?","?","?","?"
"ca bizertin","total","total","?","?","?","?","?","?","?","?"
"esperance","2007-08","tunisian ligue 1","8","1","?","?","?","?","8","1"
"esperance","2008-09","tunisian ligue 1","21","6","?","?","?","?","21","6"
"esperance","2009-10","tunisian ligue 1","11","6","?","?","?","?","11","6"
"esperance","total","total","40","13","?","?","?","?","40","13"
"young boys","2009-10","swiss super league","15","5","-","-","15","5","none","none"
"young boys","2010-11","swiss super league","34","16","2","3","10","3","46","22"
"young boys","2011-12","swiss super league","6","0","-","-","4","1","10","1"
"young boys","total","total","55","21","2","3","14","4","71","28"
"fenerbahce","2011-12","super lig","36","8","3","4","-","-","39","12"
"fenerbahce","2012-13","super lig","2","0","-","-","3","0","5","0"
"fenerbahce","total","total","38","8","3","4","3","0","44","12"
"real zaragoza","2012-13","la liga","5","0","-","-","5","0","none","none"
"real zaragoza","total","total","5","0","-","-","5","0","none","none"
"eskisehirspor","2013-14","super lig","27","5","9","5","-","-","36","10"
"eskisehirspor","total","total","27","5","9","5","-","-","36","10"
"troyes","2014-15","ligue 2","26","5","1","0","-","-","27","5"
"troyes","2015-16","ligue 1","7","0","1","0","-","-","8","0"
"troyes","total","total","33","5","2","0","0","0","35","5"
"career total","career total","career total","198","52","16","12","17","4","231","68"
