"year","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","returning","returning","returning","returning","returning","fumbles","fumbles"
"year","team","gp","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td","ret","yds","avg","lng","td","fum","lost"
"2011","phi","15","0","23","102","4.4","20","1","1","-3","-3.0","-3","0","31","669","21.6","33","0","1","1"
"2012","phi","9","0","13","69","5.3","17","1","2","24","12.0","28","0","1","33","33.0","33","0","0","0"
"2013","cle","0","0","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp"
"2014","ind","0","0","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp","dnp"
"2015","ne","7","6","49","234","4.8","13","2","36","388","10.8","40","2","0","0","0.0","0","0","2","1"
"2016","ne","7","5","64","283","4.4","15","0","17","94","5.5","16","0","2","35","17.5","23","0","1","0"
"2017","ne","16","8","180","896","5.0","44","6","32","214","6.7","20","3","23","570","24.8","103t","1","0","0"
"2018","ten","16","7","155","517","3.3","36","1","59","400","6.8","37","1","0","0","0.0","0","0","1","1"
"career","career","70","26","484","2,101","4.3","44","11","147","1,117","7.6","40","6","57","1,307","22.9","103t","1","5","3"
